Material 1,Dicke1 (mm),Material 2,Dicke2 (mm),Test,Elektrokraft (kN),Strom (kA),Stromzeit (ms),Ergebnis,,
AL6547,1,AA5754,1,Scher,3,34,70,2.915105,,
AL6547,1,AA5754,1,Scher,3,36,60,2.953011,,
AL6547,1,AA5754,1,Scher,3.5,32,50,2.46971,,
AL6547,1,AA5754,1,Scher,3.5,32,70,2.501298,,
AL6547,1,AA5754,1,Scher,3.5,34,60,2.428645,,
AL6547,1,AA5754,1,Scher,3.5,36,50,2.406445,,
AL6547,1,AA5754,1,Scher,3.5,36,70,2.618175,,
AL6547,1,AA6014,1.5,Scher,2.5,32,50,2.791911,,
AL6547,1,AA6014,1.5,Scher,2.5,32,70,2.814023,,
AL6547,1,AA6014,1.5,Scher,2.5,34,60,2.968805,,
AL6547,1,AA6014,1.5,Scher,2.5,36,50,3.082523,,
AL6547,1,AA6014,1.5,Scher,2.5,36,70,2.978282,,
AL6547,1,AA6014,1.5,Scher,3,32,60,2.79507,,
AL6547,1,AA6014,1.5,Scher,3,34,50,3.268894,,
AL6547,1,AA6014,1.5,Scher,3,34,60,2.925607,,
AL6547,1,AA6014,1.5,Scher,3,34,70,2.646605,,
AL6547,1,AA6014,1.5,Scher,3,36,60,2.915105,,
AL6547,1,AA6014,1.5,Scher,3.5,32,50,2.804546,,
AL6547,1,AA6014,1.5,Scher,3.5,32,70,2.860387,,
AL6547,1,AA6014,1.5,Scher,3.5,34,60,3.316277,,
AL6547,1,AA6014,1.5,Scher,3.5,36,50,2.406534,,
AL6547,1,AA6014,1.5,Scher,3.5,36,70,2.757164,,
DP600,2,DP600,2,Scher,2,8,300,12.309466,,
DP600,2,DP600,2,Scher,2,8,500,15.05133,,
DP600,2,DP600,2,Scher,2,9,400,15.954755,,
DP600,2,DP600,2,Scher,2,10,300,14.432199,,
DP600,2,DP600,2,Scher,2,10,500,18.816655,,
DP600,2,DP600,2,Scher,2.25,8,400,13.121285,,
DP600,2,DP600,2,Scher,2.25,9,300,13.914151,,
DP600,2,DP600,2,Scher,2.25,9,400,18.152413,,
DP600,2,DP600,2,Scher,2.25,9,500,15.768384,,
DP600,2,DP600,2,Scher,2.25,10,400,14.738606,,
DP600,2,DP600,2,Scher,2.5,8,300,11.538711,,
DP600,2,DP600,2,Scher,2.5,8,500,18.387054,,
DP600,2,DP600,2,Scher,2.5,9,400,16.213779,,
DP600,2,DP600,2,Scher,2.5,10,300,15.434898,,
DP600,2,DP600,2,Scher,2.5,10,500,16.412786,,
DP600,2,DP980,1.25,Scher,1.5,6.5,200,12.308238,,
DP600,2,DP980,1.25,Scher,1.5,6.5,400,13.761672,,
DP600,2,DP980,1.25,Scher,1.5,7.5,300,14.119968,,
DP600,2,DP980,1.25,Scher,1.5,8.5,200,14.801782,,
DP600,2,DP980,1.25,Scher,1.5,8.5,400,14.381658,,
DP600,2,DP980,1.25,Scher,1.75,6.5,300,12.334736,,
DP600,2,DP980,1.25,Scher,1.75,7.5,200,14.523805,,
DP600,2,DP980,1.25,Scher,1.75,7.5,300,15.200082,,
DP600,2,DP980,1.25,Scher,1.75,7.5,400,13.844657,,
DP600,2,DP980,1.25,Scher,1.75,8.5,300,15.544107,,
DP600,2,DP980,1.25,Scher,2,6.5,200,13.121285,,
DP600,2,DP980,1.25,Scher,2,6.5,400,14.580664,,
DP600,2,DP980,1.25,Scher,2,7.5,300,15.250336,,
DP600,2,DP980,1.25,Scher,2,8.5,200,14.99763,,
