Material 1,Dicke1 (mm),Material 2,Dicke2 (mm),Test,Elektrokraft (kN),Strom (kA),Stromzeit (ms),Ergebnis,,
AL6547,1,AA5754,1,Kopf,3.5,32,70,1.781085,,
AL6547,1,AA5754,1,Kopf,3.5,34,60,1.825309,,
AL6547,1,AA5754,1,Kopf,3.5,36,50,1.19986,,
AL6547,1,AA5754,1,Kopf,3.5,36,70,1.383073,,
AL6547,1,AA6014,1.5,Kopf,2.5,32,50,2.062221,,
AL6547,1,AA6014,1.5,Kopf,2.5,32,70,2.30861,,
AL6547,1,AA6014,1.5,Kopf,2.5,34,60,1.907438,,
AL6547,1,AA6014,1.5,Kopf,2.5,36,50,1.942186,,
AL6547,1,AA6014,1.5,Kopf,2.5,36,70,2.346516,,
AL6547,1,AA6014,1.5,Kopf,3,32,60,1.705273,,
AL6547,1,AA6014,1.5,Kopf,3,34,50,1.860056,,
AL6547,1,AA6014,1.5,Kopf,3,34,60,1.984966,,
AL6547,1,AA6014,1.5,Kopf,3,34,70,2.153827,,
AL6547,1,AA6014,1.5,Kopf,3,36,60,1.837944,,
AL6547,1,AA6014,1.5,Kopf,3.5,32,50,1.583262,,
AL6547,1,AA6014,1.5,Kopf,3.5,32,70,1.60735,,
AL6547,1,AA6014,1.5,Kopf,3.5,34,60,1.796879,,
AL6547,1,AA6014,1.5,Kopf,3.5,36,50,2.163304,,
AL6547,1,AA6014,1.5,Kopf,3.5,36,70,1.837944,,
DP600,2,DP600,2,Kopf,2,8,300,13.427691,,
DP600,2,DP600,2,Kopf,2,8,500,13.869928,,
DP600,2,DP600,2,Kopf,2,9,400,14.807018,,
DP600,2,DP600,2,Kopf,2,10,300,13.985455,,
DP600,2,DP600,2,Kopf,2,10,500,14.972359,,
DP600,2,DP600,2,Kopf,2.25,8,400,14.991312,,
DP600,2,DP600,2,Kopf,2.25,9,300,13.645651,,
DP600,2,DP600,2,Kopf,2.25,9,400,14.475973,,
DP600,2,DP600,2,Kopf,2.25,9,500,14.602776,,
DP600,2,DP600,2,Kopf,2.25,10,400,13.225526,,
DP600,2,DP600,2,Kopf,2.5,8,300,12.824335,,
DP600,2,DP600,2,Kopf,2.5,8,500,13.13392,,
DP600,2,DP600,2,Kopf,2.5,9,400,15.853673,,
DP600,2,DP600,2,Kopf,2.5,10,300,15.626237,,
